,Employer,salary_total_x,salary_total_y,change,y,Sector
107,Windsor-Essex Catholic District School Board,26236097.459999997,22398700.189999986,17.132231948500465,0,School Boards
108,Town of Richmond Hill,25696779.280000016,27043398.060000014,-4.979473278514456,0,Municipalities and Services
109,Ottawa Catholic School Board,25040177.06999998,36752011.97000007,-31.867193854747946,0,School Boards
110,Durham Catholic District School Board,24945747.179999977,22542769.2,10.659639721636239,0,School Boards
111,Durham College,24901811.049999982,21856953.39000001,13.930842078809814,0,Colleges
112,Cancer Care Ontario,24667865.999999996,23030112.83000001,7.111355389742502,0,Crown Agencies
113,City of Kingston,24573277.51,11227353.42,118.86972459801663,0,Municipalities and Services
114,City of Oshawa,24456072.069999978,28302189.349999994,-13.589469112925768,0,Municipalities and Services
115,Hamilton Wentworth Catholic District School Board,24357021.34999998,20194012.810000017,20.61506338125354,0,School Boards
116,Labour,23594741.730000004,19363100.409999996,21.854151610010717,0,Government of Ontario - Ministries
117,Upper Grand District School Board,23322462.750000004,20684244.410000008,12.754724261160444,0,School Boards
118,Grand River Hospital Corporation,23310814.46999999,23001510.24000001,1.3447127026559258,0,Hospitals and Boards of Public Health
119,City of Brantford,22937004.83999999,21792543.529999994,5.251618786143575,0,Municipalities and Services
120,City of Peterborough,22570940.20000001,25851069.25,-12.688562388961877,0,Municipalities and Services
121,North York General Hospital,22381318.129999995,19516814.829999994,14.6771044606975,0,Hospitals and Boards of Public Health
122,Municipality of Chatham-Kent,22073508.339999996,19374034.669999998,13.933461542628688,0,Municipalities and Services
123,Rouge Valley Health System,21917086.04000001,21723302.369999986,0.8920543787469537,0,Hospitals and Boards of Public Health
124,St. Clair College,21282067.08999998,23577077.420000006,-9.734074707890672,0,Colleges
125,City of Guelph,21084682.99999999,21169213.76,-0.39930987025950104,0,Municipalities and Services
126,"St. Joseph's Health Centre, Toronto",21074798.91,19076260.849999998,10.47657125112127,0,Hospitals and Boards of Public Health
127,City of St. Catharines,20851257.619999994,13609746.899999995,53.20826884738026,0,Municipalities and Services
128,Conseil Scolaire Viamonde,20557126.94999999,10920394.879999992,88.24527112704561,0,School Boards
129,Niagara Catholic District School Board,20329342.71999997,22692356.270000026,-10.413257759063265,0,School Boards
130,Legislative Assembly,20007283.809999995,19562584.4,2.2732140135840018,0,Government of Ontario - Legislative Assembly and Offices
131,City of Cambridge,19741479.38,23756649.00999999,-16.901245745180095,0,Municipalities and Services
132,Nipissing University,19736885.52000002,12902358.209999999,52.971148364978006,0,Universities
133,Simcoe Muskoka Catholic District School Board,19662179.15000001,18067042.599999998,8.828985381370668,0,School Boards
134,Regional Municipality of Niagara,19326679.59,15211948.99,27.04933209219236,0,Municipalities and Services
135,Canadian Institute for Health Information,19308099.48,17962745.519999996,7.489690028186757,0,Other Public Sector Employers
136,Trillium Lakelands District School Board,19161971.83,13622112.580000004,40.66813585239062,0,School Boards
137,City of Burlington,19082679.369999997,28355605.329999994,-32.702267689518585,0,Municipalities and Services
138,London District Catholic School Board,18663149.48000001,12658129.189999996,47.44003003811985,0,School Boards
139,Waterloo Catholic District School Board,18555157.69,16552277.600000007,12.100329262239985,0,School Boards
140,Limestone District School Board,17697157.03000001,37317877.530000016,-52.577268051289415,0,School Boards
141,Waypoint Centre for Mental Health Care,17688965.230000008,16442838.089999994,7.5785404756729235,0,Hospitals and Boards of Public Health
142,Lambton Kent District School Board,17636280.259999998,16644839.379999995,5.956446063344356,0,School Boards
143,North Bay Regional Health Centre,17611821.01,16797972.05,4.844923884725727,0,Hospitals and Boards of Public Health
144,Catholic District School Board of Eastern Ontario,17487860.43000001,16512239.209999997,5.908473148869886,0,School Boards
145,Sir Sandford Fleming College,17161607.540000007,14437672.660000004,18.866855788653147,0,Colleges
146,Avon Maitland District School Board,16971322.980000008,11456834.6,48.132739735982646,0,School Boards
147,Royal Victoria Regional Health Centre,16615406.859999996,19219403.0,-13.548787857770627,0,Hospitals and Boards of Public Health
148,Thunder Bay Regional Health Sciences Centre,16401387.329999998,16043392.04,2.2314189487324887,0,Hospitals and Boards of Public Health
149,Ontario Energy Board,15867607.28,15266570.899999995,3.936944215809479,0,Crown Agencies
150,Rainbow District School Board,15860780.960000005,11963765.240000004,32.57348871215395,0,School Boards
151,Eastern Ontario Regional Laboratory Association,15560976.039999997,14946951.900000002,4.108022452390414,0,Other Public Sector Employers
152,Renfrew County District School Board,15144698.22,9862885.06,53.55241521997418,0,School Boards
153,Town of Ajax,15115826.549999999,9517725.030000001,58.81764289632978,0,Municipalities and Services
154,City of Kingston - Police Services Board,14816470.209999993,14286893.920000002,3.7067279491635796,0,Municipalities and Services
155,City of Pickering,14660629.980000002,14855981.610000001,-1.31496951954021,0,Municipalities and Services
156,Baycrest Centre for Geriatric Care,14346690.320000004,14159634.440000009,1.3210502064345375,0,Hospitals and Boards of Public Health
157,St. Lawrence College,14289759.009999996,13012729.960000006,9.813690547067866,0,Colleges
158,Royal Ottawa Health Care Group,14112736.299999999,14327474.39,-1.4987853696662667,0,Hospitals and Boards of Public Health
159,Town of Whitby,14105836.089999998,12946912.78000001,8.951348709093466,0,Municipalities and Services
160,County of Simcoe,13785743.029999997,12171087.839999994,13.266317778871638,0,Municipalities and Services
161,Ontario Pension Board,13684793.739999998,11980488.9,14.225670206163276,0,Crown Agencies
162,City of Belleville,13604501.069999993,14838480.229999997,-8.31607510252419,0,Municipalities and Services
163,Bluewater District School Board,13471549.6,18473482.570000015,-27.076285973944604,0,School Boards
164,City of St. Thomas,13261739.589999998,11172942.330000006,18.695140441130253,0,Municipalities and Services
165,Cambrian College,13254303.399999999,10700189.87,23.869796340352224,0,Colleges
166,Near North District School Board,12937396.450000007,9923588.930000003,30.370136663853152,0,School Boards
167,St. Joseph's Care Group,12929618.17,12119527.049999997,6.68418096397585,0,Hospitals and Boards of Public Health
168,King's University College,12481687.770000003,11853253.269999998,5.301789185510297,0,Universities
169,City of Kawartha Lakes,12368988.190000001,9998698.909999998,23.705977160982485,0,Municipalities and Services
170,Alcohol and Gaming Commission of Ontario,12273641.019999998,11273790.599999994,8.8688042511629,0,Crown Agencies
171,Markham Stouffville Hospital,12128087.940000001,12085407.92,0.3531533257505659,0,Hospitals and Boards of Public Health
172,Ontario Shores Centre for Mental Health Sciences,12077053.019999998,13632972.249999998,-11.41291276375921,0,Hospitals and Boards of Public Health
173,City of Waterloo,12010899.430000002,10327153.67,16.30406415749599,0,Municipalities and Services
174,Lakehead District School Board,11989190.350000005,11250512.610000001,6.565725186098903,0,School Boards
175,Town of Newmarket - Central York Fire Services,11600136.869999995,13889738.480000002,-16.4841232489498,0,Municipalities and Services
176,City of Timmins,11585399.760000002,9615385.490000002,20.48814654439819,0,Municipalities and Services
177,Brant Haldimand Norfolk Catholic District School Board,11476212.929999996,9921002.559999995,15.67593960987752,0,School Boards
178,Municipality of Clarington,11466504.989999995,8937240.83,28.300279785567728,0,Municipalities and Services
179,Sault Area Hospital,11319029.899999999,11674214.809999997,-3.042473654808464,0,Hospitals and Boards of Public Health
180,Conseil scolaire catholique Providence,11194042.910000002,8743829.0,28.02220754774598,0,School Boards
181,Peterborough Regional Health Centre,11020557.039999997,13838817.560000006,-20.364893949797892,0,Hospitals and Boards of Public Health
182,Cabinet Office,10891309.669999996,9388977.159999996,16.001024226583603,0,Government of Ontario - Ministries
183,Holland Bloorview Kids Rehabilitation Hospital,10618247.08,11386234.88,-6.744879304650365,0,Hospitals and Boards of Public Health
184,City of Cornwall,10452653.790000003,4985104.51,109.67772629505022,0,Municipalities and Services
185,Financial Services Commission,10244562.64,10139702.95,1.0341495260470346,0,Crown Agencies
186,City of Toronto - Toronto Community Housing Corp.,10242172.870000001,9903356.42,3.421228476799598,0,Municipalities and Services
187,St. Clair Catholic District School Board,10193573.369999997,12066859.019999994,-15.52421924292936,0,School Boards
188,Peel Children's Aid Society,10172882.249999998,3413456.6999999993,198.02288835244343,0,Other Public Sector Employers
189,Queensway Carleton Hospital,10125735.610000001,7765859.269999998,30.38783292296261,0,Hospitals and Boards of Public Health
190,Sault College,10101697.130000003,11041866.419999996,-8.514586703359106,0,Colleges
191,Keewatin-Patricia District School Board,10026398.769999998,7270638.200000002,37.90259526323281,0,School Boards
192,Ontario Financing Authority,9915610.77,9556849.65,3.753968442937672,0,Crown Agencies
193,Loyalist College,9810077.599999998,8717472.259999996,12.533510946899206,0,Colleges
194,Weeneebayko Area Health Authority,9792916.909999998,12364107.689999996,-20.795603245024786,0,Hospitals and Boards of Public Health
195,Brant Community Healthcare System,9643247.729999999,7660670.319999998,25.879946886945525,0,Hospitals and Boards of Public Health
196,Quinte Healthcare Corporation,9606464.019999996,12086900.059999999,-20.521688999553145,0,Hospitals and Boards of Public Health
197,Algoma District School Board,9597518.410000002,10126049.509999996,-5.219519216038226,0,School Boards
198,Infrastructure Health and Safety Association,9597139.780000001,8764272.259999998,9.502985476628755,0,Other Public Sector Employers
199,City of Sault Ste. Marie,9593381.9,7018230.879999999,36.69230984318945,0,Municipalities and Services
200,Confederation College,9432898.649999997,9545006.030000001,-1.1745134539218771,0,Colleges
201,St. Mary's General Hospital,9422124.129999999,10326664.499999998,-8.759269462080422,0,Hospitals and Boards of Public Health
202,City of North Bay - Police Services Board,9165247.840000005,7108535.7200000025,28.9329926867133,0,Municipalities and Services
203,Canadore College,9131666.5,8665027.570000002,5.3853138519211585,0,Colleges
204,City of Toronto - Public Library Board,9098093.8,8830072.96,3.0353185213092493,0,Municipalities and Services
205,City of North Bay,8921123.8,13480950.560000002,-33.824222852130994,0,Municipalities and Services
206,Ontario Clean Water Agency,8832319.230000002,6898474.78,28.032927736527903,0,Crown Agencies
207,City of Stratford,8823483.67,8029088.000000001,9.893971395007739,0,Municipalities and Services
208,City of Sault Ste. Marie-Police Services,8720248.3,7962609.039999999,9.51496244753467,0,Municipalities and Services
209,Cambridge Memorial Hospital,8667323.209999997,8629731.039999997,0.4356123015393454,0,Hospitals and Boards of Public Health
210,Lambton College,8605952.039999997,9090429.419999998,-5.329532386380942,0,Colleges
211,Conseil scolaire catholique du Nouvel-Ontario,8585304.81,10363320.739999998,-17.156816570747168,0,School Boards
212,Cornwall Community Hospital,8568454.35,7866611.779999998,8.921789833131966,0,Hospitals and Boards of Public Health
213,Providence Care Centre,8332083.110000001,7783261.039999998,7.051312646196473,0,Hospitals and Boards of Public Health
214,District School Board Ontario North East,8254851.2,7213008.140000003,14.44394682188721,0,School Boards
215,Grey Bruce Health Services,8216132.829999996,7166026.080000003,14.653962158061162,0,Hospitals and Boards of Public Health
216,Wellington Catholic District School Board,8161771.9,4333537.180000001,88.33972251739166,0,School Boards
217,Women's College Hospital,8024748.309999996,7462413.679999999,7.535559593903374,0,Hospitals and Boards of Public Health
218,Joseph Brant Hospital,7976965.359999998,7091258.819999998,12.490117234220467,0,Hospitals and Boards of Public Health
219,Central East Community Care Access Centre,7859590.000000001,9049505.899999999,-13.148959878571908,0,Other Public Sector Employers
220,Ontario Telemedicine Network,7850171.63,7946555.61,-1.2129026049815916,0,Other Public Sector Employers
221,MaRS Discovery District,7616263.940000001,6554131.580000001,16.20553916313043,0,Other Public Sector Employers
222,The Governing Council of the Salvation Army / Conseil de direction de l'Armee du Salut,7585245.719999998,5209344.249999999,45.608455805162016,0,Other Public Sector Employers
223,City of Niagara Falls,7575055.87,7883830.849999999,-3.9165601834290853,0,Municipalities and Services
224,Ontario Health Quality Council,7546407.520000001,4876670.08,54.74509032196004,0,Crown Agencies
225,Perimeter Institute,7370815.76,7490292.369999999,-1.5950860673813683,0,Other Public Sector Employers
226,City of Cornwall - Police Services,7356545.240000001,7055951.709999999,4.260141542266904,0,Municipalities and Services
227,Town of Georgina,7338363.540000001,4282727.409999999,71.34790140659459,0,Municipalities and Services
228,Ontario Northland Transportation Commission,7281011.659999997,7363991.1099999985,-1.1268271343690017,0,Crown Agencies
229,Town of Halton Hills,7247920.580000001,5627557.090000002,28.793372756348145,0,Municipalities and Services
230,Chatham-Kent Health Alliance,7247406.660000001,7224329.670000004,0.3194343427574742,0,Hospitals and Boards of Public Health
231,South Simcoe Police Service,7234759.430000002,8630922.02,-16.176285532006208,0,Municipalities and Services
232,Thunder Bay Catholic District School Board,7135722.170000003,6440712.589999998,10.79088020600536,0,School Boards
233,Conseil scolaire catholique Franco-Nord,6942123.710000002,8553832.699999997,-18.841951281090598,0,School Boards
234,Toronto and Region Conservation Authority,6928153.040000002,5927589.94,16.879762435118817,0,Other Public Sector Employers
235,City of Woodstock,6792158.92,6429990.299999999,5.6324909230423215,0,Municipalities and Services
236,Orillia Soldiers Memorial Hospital,6659499.790000002,5279755.439999998,26.13273220094461,0,Hospitals and Boards of Public Health
237,Royal Ontario Museum,6476537.830000003,6045906.94,7.122684723294848,0,Crown Agencies
238,Renfrew County Catholic District School Board,6438706.58,5450705.82,18.126106831426835,0,School Boards
239,Energy,6340270.139999998,5683754.160000001,11.550745537523333,0,Government of Ontario - Ministries
240,Superior-Greenstone District School Board,6338866.530000001,4421486.900000001,43.365041520308466,0,School Boards
241,City of Owen Sound,6324631.44,6253468.439999998,1.13797647949756,0,Municipalities and Services
242,Superior Court of Justice,6275889.479999999,2813716.25,123.04628194118715,0,Government of Ontario - Judiciary
243,Bluewater Health,6185911.000000004,7852393.030000002,-21.222600850889883,0,Hospitals and Boards of Public Health
244,Town of Orangeville,6092953.929999999,7220848.680000001,-15.619974880847408,0,Municipalities and Services
245,Sudbury Catholic District School Board,6044630.290000003,5677518.440000001,6.466061781738608,0,School Boards
246,Muskoka Algonquin Healthcare,5974887.380000001,4715555.420000002,26.705909438765516,0,Hospitals and Boards of Public Health
247,Northern College,5900529.52,5502696.129999999,7.22979028100541,0,Colleges
248,YMCA of Greater Toronto,5898414.760000002,5842758.319999999,0.952571319088924,0,Other Public Sector Employers
249,Town of Milton,5793339.379999999,5731127.159999999,1.085514563944856,0,Municipalities and Services
250,Guelph General Hospital,5768412.840000002,5279512.019999999,9.260341072203925,0,Hospitals and Boards of Public Health
251,Town of LaSalle,5720605.880000002,5381704.159999999,6.2972937553669395,0,Municipalities and Services
252,Bruce-Grey Catholic District School Board,5662485.610000001,4209858.899999999,34.50535384927038,0,School Boards
253,City of Brockville,5633276.440000001,5197021.109999999,8.394334384375867,0,Municipalities and Services
254,Art Gallery of Ontario,5607620.4799999995,4707492.99,19.121164745483753,0,Other Public Sector Employers
255,Victoria University,5574593.3500000015,5005702.47,11.364856049864303,0,Universities
256,Providence Healthcare,5555190.669999999,4972602.63,11.715958087726763,0,Hospitals and Boards of Public Health
257,Hamilton Niagara Haldimand Brant Community Care Access Centre,5504078.470000001,7117729.3500000015,-22.670865955306386,0,Other Public Sector Employers
258,Northern Ontario School of Medicine,5442422.41,5559757.659999999,-2.1104382092797747,0,Universities
259,Office of the Auditor General,5419442.11,3933260.409999999,37.784981035618785,0,Government of Ontario - Legislative Assembly and Offices
260,City of Quinte West,5376297.069999999,3068707.9499999997,75.19741720615673,0,Municipalities and Services
261,Workplace Safety and Insurance Appeals Tribunal,5367962.05,4967450.959999999,8.062708484192083,0,Crown Agencies
262,Town of Caledon,5322037.050000002,5404780.71,-1.5309346380493305,0,Municipalities and Services
263,Algoma University,5303295.33,5532198.26,-4.137648711093012,0,Universities
264,Toronto Waterfront Revitalization Corporation,5267628.04,4490294.029999999,17.31142782202173,0,Other Public Sector Employers
265,Conseil scolaire public du Grand Nord de l'Ontario,5232776.56,5787692.039999999,-9.587854297790166,0,School Boards
266,Town of Cobourg,5207022.17,4973804.18,4.688925851519965,0,Municipalities and Services
267,Durham Children's Aid Society,5117273.660000001,5573940.46,-8.192889810667248,0,Other Public Sector Employers
268,Huron-Superior Catholic District School Board,5089633.289999998,4922760.74,3.389816381772759,0,School Boards
269,Ontario Hospital Association,5064801.630000001,4698413.229999999,7.798130604191278,0,Other Public Sector Employers
270,Children's Aid Society of the Niagara Region,5021335.3,4299786.0600000005,16.78104979948698,0,Other Public Sector Employers
271,Town of Newmarket,5018204.580000001,5993944.199999999,-16.27875714959105,0,Municipalities and Services
272,Woodstock Hospital,4974091.150000001,5205016.710000002,-4.436595939381727,0,Hospitals and Boards of Public Health
273,Central Community Care Access Centre,4956745.959999999,5466785.54,-9.329789439664049,0,Other Public Sector Employers
274,Town of Collingwood,4933829.8100000005,3070936.0500000003,60.66208249435869,0,Municipalities and Services
275,Mississauga Halton Community Care Access Centre,4929174.049999999,3870540.6399999997,27.351047527045203,0,Other Public Sector Employers
276,Huron Perth Healthcare Alliance,4910936.13,4828215.2,1.7132817526443356,0,Hospitals and Boards of Public Health
277,South West Community Care Access Centre,4856179.990000001,4245413.39,14.386504773331431,0,Other Public Sector Employers
278,North East Community Care Access Centre,4818768.729999999,5575941.7700000005,-13.579285280090037,0,Other Public Sector Employers
279,Ontario Centres of Excellence Inc.,4788967.58,4395347.529999998,8.95537946233802,0,Other Public Sector Employers
280,Ross Memorial Hospital,4782408.999999999,6447706.509999999,-25.82774987380746,0,Hospitals and Boards of Public Health
281,Town of Bradford West Gwillimbury,4763199.179999999,2537433.0,87.71723943055831,0,Municipalities and Services
282,Nipissing-Parry Sound Catholic District School Board,4752003.1,2899859.4099999997,63.87012017248106,0,School Boards
283,Ontario Educational Communications Authority,4723625.9,4605712.900000001,2.560146551905107,0,Crown Agencies
284,County of Oxford,4581500.65,5147648.8,-10.998189114999446,0,Municipalities and Services
285,Town of Whitchurch-Stouffville,4552476.98,4212259.659999999,8.07683636483134,0,Municipalities and Services
286,City of Welland,4544031.25,8403750.429999998,-45.92853169724602,0,Municipalities and Services
287,Huron-Perth Catholic District School Board,4479367.370000001,3933444.53,13.879001873200458,0,School Boards
288,West Park Healthcare Centre,4464097.649999999,4924683.6,-9.352599829966746,0,Hospitals and Boards of Public Health
289,County of Wellington,4427283.9799999995,4559069.040000001,-2.890613387157681,0,Municipalities and Services
290,Children and Family Services for York Region,4311640.38,4671513.899999999,-7.703573781510087,0,Other Public Sector Employers
